id,name,content_type,codename
1,Can add log entry,1,add_logentry
2,Can change log entry,1,change_logentry
3,Can delete log entry,1,delete_logentry
4,Can view log entry,1,view_logentry
9,Can add group,3,add_group
10,Can change group,3,change_group
11,Can delete group,3,delete_group
12,Can view group,3,view_group
5,Can add permission,2,add_permission
6,Can change permission,2,change_permission
7,Can delete permission,2,delete_permission
8,Can view permission,2,view_permission
13,Can add user,4,add_user
14,Can change user,4,change_user
15,Can delete user,4,delete_user
16,Can view user,4,view_user
57,Can add Кошик,15,add_cart
58,Can change Кошик,15,change_cart
59,Can delete Кошик,15,delete_cart
60,Can view Кошик,15,view_cart
61,Can add Товар в кошику,16,add_cartproduct
62,Can change Товар в кошику,16,change_cartproduct
63,Can delete Товар в кошику,16,delete_cartproduct
64,Can view Товар в кошику,16,view_cartproduct
29,Can add Найменування характеристики,8,add_feature
30,Can change Найменування характеристики,8,change_feature
31,Can delete Найменування характеристики,8,delete_feature
32,Can view Найменування характеристики,8,view_feature
33,Can add Значення характеристик,9,add_featurevalue
34,Can change Значення характеристик,9,change_featurevalue
35,Can delete Значення характеристик,9,delete_featurevalue
36,Can view Значення характеристик,9,view_featurevalue
37,Can add Товар,10,add_product
38,Can change Товар,10,change_product
39,Can delete Товар,10,delete_product
40,Can view Товар,10,view_product
41,Can add Зображення властивостей товару,11,add_productadvantage
42,Can change Зображення властивостей товару,11,change_productadvantage
43,Can delete Зображення властивостей товару,11,delete_productadvantage
44,Can view Зображення властивостей товару,11,view_productadvantage
45,Can add Категорія,12,add_productcategory
46,Can change Категорія,12,change_productcategory
47,Can delete Категорія,12,delete_productcategory
48,Can view Категорія,12,view_productcategory
53,Can add Характеристика товару,14,add_productfeature
54,Can change Характеристика товару,14,change_productfeature
55,Can delete Характеристика товару,14,delete_productfeature
56,Can view Характеристика товару,14,view_productfeature
49,Can add Зображення товару,13,add_productimage
50,Can change Зображення товару,13,change_productimage
51,Can delete Зображення товару,13,delete_productimage
52,Can view Зображення товару,13,view_productimage
17,Can add content type,5,add_contenttype
18,Can change content type,5,change_contenttype
19,Can delete content type,5,delete_contenttype
20,Can view content type,5,view_contenttype
65,Can add order,17,add_order
66,Can change order,17,change_order
67,Can delete order,17,delete_order
68,Can view order,17,view_order
25,Can add Контакт,7,add_contact
26,Can change Контакт,7,change_contact
27,Can delete Контакт,7,delete_contact
28,Can view Контакт,7,view_contact
69,Can add Site configuration,18,add_site
70,Can change Site configuration,18,change_site
71,Can delete Site configuration,18,delete_site
72,Can view Site configuration,18,view_site
73,Can add Телефони,19,add_sitephone
74,Can change Телефони,19,change_sitephone
75,Can delete Телефони,19,delete_sitephone
76,Can view Телефони,19,view_sitephone
21,Can add session,6,add_session
22,Can change session,6,change_session
23,Can delete session,6,delete_session
24,Can view session,6,view_session
