id,text,title
1,K580011,K580011
2,Багатоцільві,Багатоцільві
3,ПВХ,ПВХ
4,CALF,CALF
5,ЗЕЛЕНИЙ,ЗЕЛЕНИЙ
6,ЧОРНИЙ,ЧОРНИЙ
7,37-46,37-46
8,1,1
9,НІ,НІ
10,Португалія,Португалія
11,8713197350125,8713197350125
12,EG62E33,EG62E33
13,Будівельна індустрія,Будівельна індустрія
14,PUROFORT,PUROFORT
15,41-45,41-45
16,СТАЛЬ,СТАЛЬ
17,SRC,SRC
18,ТАК,ТАК
19,до -20 °C,до -20 &deg;C
20,Нідерланди,Нідерланди
21,6,6
22,OD60B93,OD60B93
23,PUROTEX & PUROFORT®,PUROTEX  PUROFORT
24,Хакі / темно коричневий,Хакі / темно коричневий
25,OD60B93.CH,
26,142VP,142VP
27,36-47,36-47
28,2,2
29,SRA,SRA
30,142PP,142PP
31,40-45,40-45
32,380PP,380PP
33,FG60E33,FG60E33
34,36-46,36-46
35,380VP,380VP
36,35-47,35-47
37,K486061,K486061
38,до -15 °C,до -15&nbsp;&deg;C
39,K374061,K374061
40,Дитяче взуття,Дитяче взуття
41,26-35,26-35
43,K354061,K354061
44,K310931,K310931
45,142YP,142YP
46,40 - 47 р.,40 - 47 р.
47,ЖОВТИЙ,ЖОВТИЙ
48,NA2KL01,NA2KL01
49,41 - 46 р.,41 - 46 р.
50,ACIFORT,ACIFORT
51,NA0KL01,NA0KL01
52,37 -47 р.,37 -47 р.
53,35 - 48,35 - 48
54,Z920005,Z920005
55,Z930005,Z930005
