id,title,type,ref,area
2285,Євгенівка,4,d7892f9d-76f6-11e9-898c-005056b24375,14
2286,Євгенівка (Одеська обл.),4,497278cf-2e62-11eb-80fb-b8830365bd04,15
2287,Євдокіївка,4,7b635cd3-0fe3-11eb-80fb-b8830365bd04,4
2288,Євминка,4,7ea371c6-1b20-11ea-8c15-0025b502a06e,25
2289,Євсуг,4,3ef9c2af-76f5-11e9-898c-005056b24375,12
2290,Єгорівка,4,22504180-b7a5-11e9-8c22-005056b24375,15
2291,Єгорівка (Запорізька обл),4,cbe08f67-4651-11ec-80fb-b8830365bd04,8
2292,Єгорівка (Прилуцький р-н),4,3708ab41-3d73-11ed-a361-48df37b92096,25
2293,Єзупіль,4,cc3d66f0-9e6a-11e9-898c-005056b24375,9
2294,Єланець,2,06f87960-4079-11de-b509-001d92f78698,14
2295,Єлизаветівка,4,fc246356-fbed-11e5-899e-005056887b8d,4
2296,Єлизаветівка (Запорізька обл.),4,e0081f1f-b6ef-11eb-80fb-b8830365bd04,8
2297,Єлизаветівка (Мар'їнський р-н),4,0c9ea311-3b1d-11ec-80fb-b8830365bd04,5
2298,Єлизаветівка (Одеська обл.),4,19940dca-3e49-11eb-80fb-b8830365bd04,15
2299,Єлисеївка,4,985e245b-672e-11ec-80fb-b8830365bd04,8
2301,Ємчиха,4,ede2b4e7-b3a1-11ed-a361-48df37b92096,10
2300,Ємільчине,2,69da41d8-3f5d-11de-b509-001d92f78698,6
2302,Єпіфанівка,4,04eda5d3-b79f-11e9-8c22-005056b24375,12
2303,Єреміївка,4,2f229328-feef-11e9-91ff-0025b501a04b,15
2304,Єрки,3,35c4e0f1-40de-11e5-8d8d-005056887b8d,23
2305,Єрків,4,caaaa76a-96d2-11ea-a970-b8830365ade4,25
2306,Єрківці,4,326cd26c-76f3-11e9-898c-005056b24375,10
2307,Єрчики,4,4eb006d7-29c7-11eb-80fb-b8830365bd04,6
2308,Єфремівка,4,09e961c2-82d1-11e9-898c-005056b24375,14
2309,Єфремівка (Харківська обл.),4,4bd80fcd-b705-11eb-80fb-b8830365bd04,20
2732,Івангород,4,3ef9c285-76f5-11e9-898c-005056b24375,11
2733,Івангород (Черкаська обл.),4,9f4f29d7-5f88-11ec-80fb-b8830365bd04,23
2734,Іване-Пусте,4,6c8c41da-8866-11e9-898c-005056b24375,19
2735,Іваниківка,4,7c552337-afe1-11ea-a970-b8830365ade4,9
2736,Іваниця,4,109c642b-34b4-11eb-80fb-b8830365bd04,25
2737,Іваниця (Сумська обл.),4,643de52a-cdf2-11eb-80fb-b8830365bd04,18
2738,Іваничі (Волинська обл.),2,f706235a-4078-11de-b509-001d92f78698,3
2739,Іваничі (Рівненська обл.),4,095b7c03-64ea-11ed-a361-48df37b92096,17
2783,Іванковичі,4,d7f49864-8850-11e9-898c-005056b24375,10
2774,Іванків (Вишгородський р-н),2,f70622f2-4078-11de-b509-001d92f78698,10
2775,Іванків (Тернопільська обл.),4,f3b29b43-9e69-11e9-898c-005056b24375,19
2776,Іванків(Бориспільський р-н),4,d6bc18f0-fa5d-11e5-899e-005056887b8d,10
2777,"Іванківці (Дунаєвецький р-н., Хмельницька обл.)",4,e44aafdb-e5e8-11e9-b48a-005056b24375,22
2778,Іванківці (Житомирська обл.),4,2aa4ea3c-afe0-11ea-a970-b8830365ade4,6
2779,"Іванківці (Козятинський р-н., Вінницька обл.)",4,44cc2c29-29c3-11eb-80fb-b8830365bd04,2
2780,"Іванківці (Старосинявський р-н., Хмельницька обл.)",4,4e71dae8-e5e9-11e9-b48a-005056b24375,22
2781,"Іванківці (Хмельницька обл., Хмельн. р-н)",4,ef0683e7-9608-11eb-80fb-b8830365bd04,22
2782,Іванківці (Чернівецька обл.),4,bcb1262f-7d6b-11e9-898c-005056b24375,24
2785,Івано-Франкове,2,844a3dd3-4d64-11e4-acce-0050568002cf,13
2784,Івано-Франківськ,1,db5c8904-391c-11dd-90d9-001a92567626,9
2786,Івано-Яризівка,4,688f2db1-cde2-11eb-80fb-b8830365bd04,4
2787,Іванове (Лиманський р-н),4,c6476ccd-2dca-11e9-acea-005056b24375,15
2788,Іванове Селище,4,b33b7e0d-1a1d-11eb-80fb-b8830365bd04,16
2789,Іванопілля,4,6f4a77d8-9e5a-11e9-898c-005056b24375,5
2790,Іванопіль,4,92e65524-76ea-11e9-898c-005056b24375,2
